Esperanto,Japanese_Trans,Chinese_Trans,Korean_Trans,Level_JP,Level_CN,Level_JP_Num,Level_JP_Scaled,Unified_Level
aresti,{Ｏ}［他］逮捕する,逮捕,체포하다,C,,3.0,8.79,8.79
arkta,"{Ｂ}【地理】北極の, =nordpolusa, ><ant〜",[地] 北极的,"북극 지방의, 북극 근방의",C,,3.0,8.79,8.79
aroganta,"{Ｏ}横柄な, 尊大な, 思い上がった",傲慢的，自大的,"거만한, 오만한",C,,3.0,8.79,8.79
asimili,{Ｏ}［他］同化する,同化,동화하다,C,,3.0,8.79,8.79
astro,{Ｏ}天体,天体,천체,C,,3.0,8.79,8.79
astronomio,{Ｏ}天文学,天文学,천문학,C,,3.0,8.79,8.79
atmosfero,{Ｏ}大気; 雰囲気; 《古》圧力単位（atm）,大气；气氛；（古）压力单位（大气压）,대기; 분위기; (고어) 압력 단위(기압),C,,3.0,8.79,8.79
aviado,"{Ｏ}航空, 飛行; 航空術, 飛行術",航空，飞行,"항공, 비행; 항공술, 비행술",C,,3.0,8.79,8.79
aŭdaci,"{Ｂ}［自］果敢に～する, ずうずうしくも～する",敢于，胆敢,"감히 …하다, 대담하게 행동하다",C,,3.0,8.79,8.79
aŭroro,"{Ｂ}曙（あけぼの）, 夜明け; 曙光（しょこう）; 【気】=polusa lumo（極光）",黎明，曙光；极光,"새벽, 여명; 서광; 오로라",C,,3.0,8.79,8.79
baleno,{Ｏ}【動】クジラ（鯨類全般）,[动] 鲸,고래,C,,3.0,8.79,8.79
baleto,{Ｏ}バレエ（舞踊）,芭蕾舞,발레,C,,3.0,8.79,8.79
banala,"{Ｏ}平凡な, ありふれた, >>triviala, >>〜",平庸的，陈腐的,진부하고 평범한,C,,3.0,8.79,8.79
baterio,"{Ｏ}【電】バッテリー, 電池; 【軍】砲兵中隊",[电] 电池；[军] 炮兵连,"전지, 배터리; (군사) 포병중대",C,,3.0,8.79,8.79
biologio,{Ｏ}生物学,生物学,생물학,C,,3.0,8.79,8.79
bis,{Ｏ}［間］アンコール！,[叹] 再来一次（喝彩）,앙코르!,C,,3.0,8.79,8.79
biskvito,"{Ｏ}【料】ビスケット, クッキー, 堅パン; 素焼きの陶磁器",饼干；硬面包；素烧陶器,"비스킷, 쿠키, 건빵; 초벌구이 도자기(비스크)",C,,3.0,8.79,8.79
bombo,{Ｏ}【軍】爆弾; 《類》爆弾状のもの（熱量測定器・アイスクリーム・火山弾など）,炸弹；炸弹状物（量热弹、冰淇淋甜点、火山弹等）,"폭탄; 폭탄 모양의 것(열량계 봄베, 아이스크림, 화산탄 등)",C,,3.0,8.79,8.79
botaniko,{Ｏ}植物学,植物学,식물학,C,,3.0,8.79,8.79
botoj,{Ｂ}長靴; 【服】ブーツ,长靴，靴子,"장화, 부츠",C,,3.0,8.79,8.79
brajlo,{Ｂ}点字,盲文,점자,C,,3.0,8.79,8.79
burokrato,"{Ｏ}【政】官僚, 役人; 《転》官僚主義者, しゃくし定規な役人",官僚；（转）官僚主义者，墨守成规的官员,"관료, 관리; (비유) 관료주의자, 융통성 없는 관리",C,,3.0,8.79,8.79
buso,"{Ｂ}【車】バス（乗合自動車）, =〜 / 【情】バス",公共汽车；[计] 总线,버스; (컴퓨터) 버스,C,,3.0,8.79,8.79
celebri,{Ｂ}［他］（宗教的・公的儀式を）執り行う; （記念日などを）儀式として祝う,举行、主持（宗教或公共仪式）；隆重纪念、庆祝,"(종교·공적 의식을) 거행하다, 집전하다; 기념일 등을 엄숙히 기념하다",C,,3.0,8.79,8.79
ceramiko,{Ｏ}製陶,陶瓷业，制陶术,"도예; 도자기 제작술, 도자기 산업",C,,3.0,8.79,8.79
ceremonio,"{Ｏ}儀式, 式典; 儀礼",仪式，典礼,"의식, 식전(式典); 의례",C,,3.0,8.79,8.79
damaĝi,"{Ｂ}［他］損害を与える, 損傷を与える, >>〜, >>〜",损害，毁坏,"손상시키다, 피해를 주다",C,,3.0,8.79,8.79
daŭri,"{Ｂ}［自］続く, 持続する; 長引く; 長持ちする",持续，延续,"지속되다, 계속되다; 길어지다; 오래가다",A,,1.0,2.54,2.54
demokratio,"{Ｏ}民主政治, 民主政体; =demokrataro",民主政治，民主政体,"민주주의, 민주정",C,,3.0,8.79,8.79
detala,"{Ｂ}詳しい, 詳細な",详细的，详尽的,"상세한, 자세한",C,,3.0,8.79,8.79
dialekto,{Ｏ}【語】方言,方言,"방언, 사투리",C,,3.0,8.79,8.79
diamanto,{Ｏ}【鉱】ダイヤモンド,钻石，金刚石,"다이아몬드, 금강석",C,,3.0,8.79,8.79
digno,"{Ｏ}威厳, 尊厳; 品位, 自尊心",尊严，威严；品位，自尊心,"존엄, 위엄; 품위, 자존심",C,,3.0,8.79,8.79
dinamito,{Ｏ}ダイナマイト,硝化甘油炸药，达纳炸药；（泛）炸药,"다이너마이트, 폭약",C,,3.0,8.79,8.79
dio,{Ｂ}【宗】神,神,"신, 하느님",B,,2.0,5.67,5.67
diplomato,"{Ｏ}外交官; 《転》外交家, 駆け引きのうまい人",外交官；（转）善于周旋的人,외교관; (비유) 외교 수완이 좋은 사람,C,,3.0,8.79,8.79
diplomo,"{Ｏ}免許状, 証書; 卒業証書",文凭，证书,"졸업장, 자격증, 증서",C,,3.0,8.79,8.79
diskriminacio,{Ｂ}差別; 【法】差別待遇,歧视,"차별, 차별대우",C,,3.0,8.79,8.79
distrikto,"{Ｏ}【政】行政区, 地区, 地方, >>〜, >>〜, >>departemento, >>kantono, >>〜",行政区，地区；辖区,"행정구역, 관할구; 지구",C,,3.0,8.79,8.79
domaĝo,"{Ｂ}惜しいこと, 残念なこと",可惜的事，遗憾的事,"안타까운 일, 유감스러운 일",C,,3.0,8.79,8.79
dosiero,{Ｂ}一件書類; （犯罪者の）前科簿; 【情】ファイル,卷宗，档案；[计] 文件,"서류철, 서류 묶음; (범죄자) 전과 기록부; (정보) 파일",C,,3.0,8.79,8.79
drinki,"{Ｏ}［他］（酒を）飲む; 深酒する, 飲んだくれる",喝酒；酗酒，痛饮,"술을 마시다; 과음하다, 술에 빠지다",C,,3.0,8.79,8.79
ekologio,{Ｏ}生態学; 《転》生態環境,生态学；生态环境,생태학; 생태 환경,C,,3.0,8.79,8.79
ekonomiko,{Ｂ}経済学,经济学,경제학,C,,3.0,8.79,8.79
ekskluziva,"{Ｏ}排他的な, 独占的な; （～を）除いた, （～と）相いれない, ><〜",排他的，独占的；除外的，不相容的,"배타적인, 독점적인; 제외한, 양립할 수 없는",C,,3.0,8.79,8.79
ekspreso,{Ｏ}急行列車; 速達; 急使,快车；速递；急使,급행열차; 속달; 긴급 전령(급사),C,,3.0,8.79,8.79
ekstra,"{Ｏ}特別の（追加の）, 格別の, 余分の, 臨時の, >>aldona",额外的，特别的,"추가의, 여분의, 특별한",C,,3.0,8.79,8.79
ekzemplero,"{Ｏ}（本や新聞などの）一冊, 一部; （同種の生物の）個体, 標本, >>〜",（书刊）册、份；样本；个体（生物）,"책·신문 등의 한 부, 한 권; 표본, 개체",C,,3.0,8.79,8.79
elimini,"{Ｂ}［他］除去する, 取り除く, 削除する; ふるい落とす; 【医】排出する; 【数】消去する",消除，排除；淘汰；（医）排出；（数）消去,"제거하다, 없애다; 탈락시키다; (의학) 배출하다; (수학) 소거하다",C,,3.0,8.79,8.79
elokventa,"{Ｏ}雄弁な, 説得力のある; 表情の豊かな",雄辩的；有说服力的；（表情）丰富传神的,"웅변의, 설득력 있는; 표정이 풍부한",C,,3.0,8.79,8.79
emfazo,"{Ｏ}強調, 力説",强调,강조,C,,3.0,8.79,8.79
emocii,"{Ｂ}［他］感動させる, 心を動かす",使感动，使激动,감동시키다,C,,3.0,8.79,8.79
enciklopedio,{Ｏ}百科事典,百科全书,백과사전,C,,3.0,8.79,8.79
enketo,"{Ｂ}調査, アンケート; 取調べ, 査問, >>esploro",调查，问卷；审讯，查问,"조사, 설문조사; 취조, 심문",C,,3.0,8.79,8.79
entuziasmo,"{Ｏ}熱狂, 熱中, 情熱, 狂喜",热情，热忱；热狂，狂喜,"열정, 열광",C,,3.0,8.79,8.79
epizodo,"{Ｏ}【文】エピソード, 挿話; 挿話的な出来事, 逸話",插曲，片段；轶事，插话,"삽화(에피소드), 일화; 사건의 한 토막",C,,3.0,8.79,8.79
erotika,"{Ｏ}性愛の, 官能的な, エロチックな",性爱的，情欲的；（语境可）色情的,"성애적인, 에로틱한",C,,3.0,8.79,8.79
eseo,"{Ｂ}小論, 評論; エッセー, 随筆",随笔；小论，短评,"수필, 에세이; 소론, 평론",C,,3.0,8.79,8.79
etiko,{Ｏ}倫理学; 倫理,伦理学；伦理,"윤리학, 윤리",C,,3.0,8.79,8.79
etno,{Ｏ}民族（集団）; エスニックグループ,民族，族群,민족 집단,C,,3.0,8.79,8.79
eventuala,"{Ｏ}場合によっては起こり得る, 不確定な",可能发生的，不确定的,"경우에 따라 일어날 수 있는, 불확정한",C,,3.0,8.79,8.79
eŭro,"{Ｏ}【貨】ユーロ, >>cendo",欧元,유로(유럽연합 공통 통화),C,,3.0,8.79,8.79
faktoro,"{Ｏ}要因, 因子, ファクター; 【数】因数; 【理】因子, 率; 【商】仲買人, 代理業者",因素，要素；（数）因数；（理）因子，系数，比率；（商）代理商，中间人,"요인, 인자, 팩터; (수학) 인수; (물리) 인자, 계수, 비율; (상업) 중개인, 대리업자",C,,3.0,8.79,8.79
fakturo,"{Ｏ}【商】仕切状, 送り状, 請求書",账单，发货单，发票,"거래 명세서, 송장, 청구서",C,,3.0,8.79,8.79
fantomo,"{Ｏ}幽霊, 亡霊; 《転》まぼろし",幽灵，亡灵；（转）幻影，虚影,"유령, 망령; 환영, 허상",C,,3.0,8.79,8.79
fatalo,{Ｏ}宿命; 悲運,宿命，厄运,숙명; 비운,C,,3.0,8.79,8.79
fekunda,"{Ｂ}繁殖力のある, 多産な; 《転》実り多い, 肥沃（ひよく）な",多产的，肥沃的；（转）富有成效的,"다산의, 번식력이 높은; 비옥한; (비유) 결실 많은",C,,3.0,8.79,8.79
feminismo,{Ｏ}フェミニズム,女性主义（女权主义）,"페미니즘, 여성주의",C,,3.0,8.79,8.79
femuro,{Ｏ}ふともも; 【解】大腿（だいたい）,大腿；股部,넓적다리; (해부) 대퇴,C,,3.0,8.79,8.79
fendi,"{Ｂ}［他］割る, 裂く; 割って進む",劈开，使裂开；破开前进,"쪼개다, 가르다; 갈라 헤치고 나아가다",B,,2.0,5.67,5.67
festivalo,"{Ｏ}（音楽・芸術）祭, 祭典, フェスティバル",（音乐、艺术）节，节庆，祭典,"음악·예술 축제, 페스티벌",C,,3.0,8.79,8.79
fi,{Ｂ}［間］チェッ！,呸！,"에이!, 쳇!",C,,3.0,8.79,8.79
fiasko,"{Ｏ}大失敗, 大しくじり",惨败，大失败,대실패,C,,3.0,8.79,8.79
filatelo,"{Ｂ}切手収集, 郵趣",集邮,우표 수집,C,,3.0,8.79,8.79
filio,"{Ｏ}支部, 支店, 支所",分支机构，分部，分店，办事处,"지부, 지점",C,,3.0,8.79,8.79
filozofio,"{Ｏ}哲学; ものの見方, 考え方, 人生観, 世界観",哲学；思想体系；人生观/世界观（引申）,"철학; 사물에 대한 관점, 사고방식; 인생관, 세계관",C,,3.0,8.79,8.79
filtri,"{Ｏ}［他］こす, ろ過する; 【写】フィルターにかける",过滤，滤过；（摄影）加滤镜处理,"여과하다, 거르다; (사진) 필터를 적용하다",C,,3.0,8.79,8.79
firmao,"{Ｂ}【商】商会, 商社, =firmo",商号，公司,"상호, 회사",C,,3.0,8.79,8.79
fonetiko,{Ｏ}音声学,语音学,음성학,C,,3.0,8.79,8.79
fono,{Ｏ}背景; 下地; 【理】ホン（音の大きさの単位）,背景；底色，底子；[理] 方（响度级单位）,"배경, 바탕; (물리) 폰(음의 크기 단위)",C,,3.0,8.79,8.79
formala,"{Ｏ}外形的な, 形式上の; 正式の, 正規の; 儀礼的な; 明確な, 明言された",形式上的；正式的；礼仪性的；明示的,"형식상의, 형식적인; 공식적인, 정식의; 의례적인; 명시된",C,,3.0,8.79,8.79
formato,{Ｏ}【印】（本や紙の）判,开本，版式,책이나 종이의 판형,C,,3.0,8.79,8.79
fortuno,"{Ｂ}幸運, つき（財産の意味ではまれ）",运气，幸运；好运,"행운, 운",C,,3.0,8.79,8.79
forumo,{Ｏ}フォーラム（公開討論の場）; 【史】フォーラム（古代ローマの公共広場）,论坛；（古罗马）公共广场,포럼(공개 토론의 장); (고대 로마) 공공 광장,C,,3.0,8.79,8.79
foti,"{Ｂ}［他］写真にとる, 撮影する, =〜ografi",拍照,"사진을 찍다, 촬영하다",B,,2.0,5.67,5.67
frakcio,"{Ｏ}【数】分数; 【化】留分; 【政】分派, フラクション",（数）分数；（化）馏分；（政）派别,(수학) 분수; (화학) 유분(留分); (정치) 파벌,C,,3.0,8.79,8.79
frue,{Ｂ}早く; 初期に,早，及早，提早；在初期,일찍; 초기에,A,,1.0,2.54,2.54
futbalo,"{Ｂ}【運】サッカー, =piedpilko",足球,축구,C,,3.0,8.79,8.79
gambo,"{Ｂ}【解】下肢, 脚部, >>〜",腿，下肢,사람이나 동물의 다리,C,,3.0,8.79,8.79
gastronomio,"{Ｂ}料理法, 美食学",美食学，烹饪法,"미식학, 요리법",C,,3.0,8.79,8.79
gesto,"{Ｂ}身ぶり, 手ぶり",手势，姿势,"몸짓, 손짓",C,,3.0,8.79,8.79
giganto,{Ｏ}巨人,巨人,거인,C,,3.0,8.79,8.79
gimnastiko,"{Ｏ}体操, 体育; 【運】体操競技",体操；体育；竞技体操,체조; 체육; (스포츠) 체조 경기,C,,3.0,8.79,8.79
gimnazio,"{Ｏ}ギムナジウム（大学進学のための中等学校）, >>〜",（欧洲）大学预科中学,대학 진학 준비용 인문계 중등학교,C,,3.0,8.79,8.79
gitaro,{Ｏ}【楽】ギター,吉他,기타,C,,3.0,8.79,8.79
giĉeto,{Ｏ}（受付などの）窓口; 切符売り場,窗口，售票口,창구,C,,3.0,8.79,8.79
glori,"{Ｂ}［他］ほめたたえる, 称賛する, 顕彰する; （神の）栄光をたたえる",颂扬，赞美,"칭송하다, 찬양하다",C,,3.0,8.79,8.79
glui,"{Ｂ}［他］はる, はりつける, 接着する",粘，贴,붙이다,C,,3.0,8.79,8.79
grimaco,"{Ｂ}しかめつら, 渋面",鬼脸，怪相,찡그린 얼굴,C,,3.0,8.79,8.79
groteska,"{Ｏ}グロテスクな, 異様な, 奇怪で滑稽（こっけい）な",怪诞的；奇异而滑稽的,"기괴하고 이상한, 그로테스크한",C,,3.0,8.79,8.79
gubernio,"{Ｏ}（ロシア・日本などの）県, 都道府県, >>prefektujo; 州",省，县，州（日本、俄罗斯等行政区划）,"러시아·일본 등의 행정 구역, 현·도·주",C,,3.0,8.79,8.79
ha,{Ｂ}［間］あっ！（驚き）,哈！啊！,"아!, 앗!",B,,2.0,5.67,5.67
he,"{Ｂ}［間］おい！, もしもし！（呼びかけ・注意）; おやおや！（皮肉な驚き）",嘿！喂！,"어이!, 이봐!; 여보세요!; (빈정거림) 어이쿠!",C,,3.0,8.79,8.79
ho,"{Ｂ}［間］（驚き・強い感情）おお！, まあ！; （呼びかけ）おい！ / {Ｏ}［文字名］ホー（文字H，hの名称）",噢！哇！；（字母名）H/h 的名称,"오!, 아아!; (문자명) H/h의 이름 호",B,,2.0,5.67,5.67
hobio,"{Ｂ}趣味, =ŝatokupo",业余爱好,취미,C,,3.0,8.79,8.79
horizontala,"{Ｂ}水平の, 横の, >>〜",水平的,"수평의, 가로의",C,,3.0,8.79,8.79
humuro,"{Ｂ}ユーモア（感覚）, こっけい, おかしみ, 諧謔（かいぎゃく）, >>ŝerco, >>sprito（「気分」を表す別語と区別）",幽默；诙谐感；滑稽趣味,"유머 감각, 우스움, 익살, 해학",C,,3.0,8.79,8.79
ideologio,"{Ｏ}イデオロギー, 観念形態; 【哲】観念学; 《転》空理空論",意识形态；思想体系；观念形态；（哲）观念学；（转）空论,"이데올로기, 관념형태; (철학) 관념학; (비유) 공허한 이론",C,,3.0,8.79,8.79
idioto,{Ｏ}《侮蔑的・旧医療語》愚か者,（贬义・旧医）白痴；愚蠢的人,"(모욕적·구식 표현) 바보, 어리석은 사람",C,,3.0,8.79,8.79
iluzio,"{Ｏ}錯覚, 幻影; 幻想, 妄想, >>halucino",错觉，幻象；幻想，妄想,"착각, 환영; 환상, 망상",C,,3.0,8.79,8.79
imponi,"{Ｏ}［自］強い印象を与える, 畏敬の念を起こさせる",给人留下深刻印象，使敬畏,"강한 인상을 주다, 경외심을 일으키다",C,,3.0,8.79,8.79
inaŭguri,{Ｏ}［他］（開会・開業・落成・除幕・就任などの）式を行う; 《転》開始する,举行开幕典礼；开始,개막식·취임식 등 공식 의식을 거행하다; (비유) 시작하다,C,,3.0,8.79,8.79
indekso,{Ｏ}索引; 【キ】（カトリックの）禁書目録,索引；（天主教）禁书目录,"색인, 목록; (가톨릭) 금서목록",C,,3.0,8.79,8.79
indico,"{Ｂ}手がかり, =indikaĵo（徴候）; 【学】指数, 率; 【学】添え字（変数の右下につける）; 【情】インデックス（位置番号）",征候，迹象，线索；指数，比率；（数）下标；（计）索引号，位置编号,"징후, 단서; 지수, 비율; (수학) 아래첨자; (컴퓨터) 인덱스, 위치 번호",C,,3.0,8.79,8.79
inkluziva,"{Ｏ}含んだ, =inkluda",包括的，包含在内的；包容性的,"포함하는, 포괄적인",B,,2.0,5.67,5.67
instituto,{Ｏ}研究所; 学院; 学会,研究所；学院；学会,연구소; 학술 기관; 학회,C,,3.0,8.79,8.79
integra,"{Ｂ}全部の（完全な）, 欠けたところのない; （穀物・粉などが）全粒の; 【植】全縁の",完整的，完备无缺的；全谷物的；（植）全缘的,"완전한, 빠진 데 없는; 통곡물의; (식물) 가장자리가 갈라지지 않은",C,,3.0,8.79,8.79
intensa,"{Ｏ}強烈な, 激しい, 強度の; 集中的な, 集約的な, 徹底的な",强烈的，激烈的；集中的，强化的,"강렬한, 격렬한; 집약적인, 집중적인",C,,3.0,8.79,8.79
interezo,"{Ｂ}【経】利子, 利息, 金利, =rentumo; 【史的唯物論】剰余価値の一部",利息，利率；（历史唯物主义）剩余价值的一部分,"이자, 금리; (역사유물론) 잉여가치의 일부",C,,3.0,8.79,8.79
intervjuo,"{Ｏ}インタビュー, 取材訪問",采访，访谈,"인터뷰, 취재 면담",C,,3.0,8.79,8.79
inversa,"{Ｏ}逆の, 反対の",相反的，倒转的,"반대의, 역의",C,,3.0,8.79,8.79
iriti,{Ｂ}［他］いらだたせる; 【医】刺激する,使恼怒；（医）刺激,짜증 나게 하다; (의학) 자극하다,C,,3.0,8.79,8.79
jakto,{Ｂ}【海】ヨット,游艇,요트,C,,3.0,8.79,8.79
japano,{Ｏ}日本人; 日本国民,日本人,일본인; 일본 국민,C,,3.0,8.79,8.79
jeto,"{Ｂ}【空】ジェット機, >>reaktoro",喷气式飞机,제트기,C,,3.0,8.79,8.79
k.t.p.,{Ｏ}［略］「…など」（列挙の後に用いる）,等等,등등,C,,3.0,8.79,8.79
kalko,"{Ｏ}【化】石灰, =kalcioksido（酸化カルシウム）",石灰,석회,C,,3.0,8.79,8.79
kanario,{Ｏ}【鳥】カナリア（種）,金丝雀,카나리아,C,,3.0,8.79,8.79
kancero,"{Ｏ}【病】がん（癌）, >>tumoro; 【植】腫瘍（しゅよう）; 【動】イチョウガニ（属）",[医] 癌；[植] 瘿瘤；[动] 一种蟹（属）,암; (식물) 혹·종양; (동물) 게의 한 속,C,,3.0,8.79,8.79
kaprico,"{Ｂ}気まぐれ, 移り気, むら気; （ものごとの）急変",任性，反复无常；（事态）骤变,"변덕, 변덕스러움; (사태의) 급변",C,,3.0,8.79,8.79
karakterizi,"{Ｏ}［他］特色づける, 特徴づける; 特徴を描写する",使具有特征；表明…的特征；描写其特点,"특징을 나타내다, 특징짓다",C,,3.0,8.79,8.79
karavano,"{Ｏ}隊商, キャラバン; 旅行団",商队；旅行团,대상(隊商); 여행단,C,,3.0,8.79,8.79
karbono,{Ｏ}【化】炭素（元素，Ｃ）,[化] 碳,탄소,C,,3.0,8.79,8.79
karcero,"{Ｏ}独房; 監房, 牢（ろう）; 留置場; 監獄, 刑務所; 【軍】営倉",牢房，禁闭室；监狱，拘留所,"독방, 감방, 유치장; 감옥, 형무소; (군사) 영창",C,,3.0,8.79,8.79
kariero,"{Ｏ}（一生涯のものとしての）職業, 道; 経歴, 生涯",职业生涯，经历,"직업상의 경력, 이력; 인생 행로",C,,3.0,8.79,8.79
karikaturo,"{Ｏ}諷刺画, 漫画, 戯画, カリカチュア",漫画，讽刺画,"풍자화, 캐리커처",C,,3.0,8.79,8.79
kasedo,"{Ｏ}カセット, カセットテープ",盒式磁带,"카세트, 카세트테이프",C,,3.0,8.79,8.79
katastrofo,"{Ｏ}（突然の）大災害, 大惨事, 大事故; 破局; 【劇】大詰め",大灾害，大惨事；破局；（剧）结局，收场,"대재난, 대참사; 파국; (연극) 대단원",C,,3.0,8.79,8.79
katoliko,{Ｏ}【キ】カトリック教徒,天主教徒,가톨릭교도,C,,3.0,8.79,8.79
kaŭri,{Ｏ}［自］うずくまっている; 身を縮めている,蹲伏，蜷缩着蹲下,웅크리다,C,,3.0,8.79,8.79
klaki,{Ｏ}［自］かちかち音をたてる（ぶつけて乾いた短い音を発する）,发出咔哒声,짤깍짤깍 마른 소리를 내다,C,,3.0,8.79,8.79
klasifiki,"{Ｏ}［他］分類する, 区分する, 仕分ける; 【鉄】（車両を）入れ替える",分类；（铁路）调车编组,분류하다; (철도) 차량을 입환하다,C,,3.0,8.79,8.79
klavo,"{Ｏ}（タイプライター・ピアノなどの）キー, 鍵（けん）; 【情】キー",键，按键,"(피아노·자판 등의) 건반, 키; (정보) 키",C,,3.0,8.79,8.79
klaĉi,"{Ｏ}［自］悪口をいいふらす, 陰口をきく, 悪いうわさ話をする",说闲话，搬弄是非,"험담하다, 뒷말하다",C,,3.0,8.79,8.79
klimatizi,{Ｂ}［他］空気調節を施す,进行空气调节；装设空调,"공기 조절을 하다, 냉난방하다",C,,3.0,8.79,8.79
kodo,"{Ｏ}【法】法典; （電信などの）符号, 暗号; 【情】コード; 【生】遺伝暗号",法典；符号、密码；[计] 代码；（生）遗传密码,"법전; 부호, 암호; (정보) 코드; (생물) 유전 암호",C,,3.0,8.79,8.79
kokso,"{Ｏ}【解】腰（左または右に張り出した部分）, >>〜, >>〜",髋部，胯部,"고관절 부위, 몸통과 넓적다리가 만나는 양쪽 부분",C,,3.0,8.79,8.79
kolbaso,"{Ｏ}【料】ソーセージ, >>〜; 【建】（火薬を詰めた）導火嚢（どうかのう）",香肠；（建筑）火药导火囊,소시지; (건축) 화약 도화낭,C,,3.0,8.79,8.79
kolego,"{Ｏ}同僚, 僚友, なかま, 同業者",同事，同僚；伙伴；同行,"동료, 동업자, 같은 무리의 사람",B,,2.0,5.67,5.67
kolekti,"{Ｂ}［他］集める, 収集する, 徴収する; （人を）呼び集める, 招集する",收集，聚集；征收；召集,"모으다, 수집하다; 징수하다; 소집하다",A,,1.0,2.54,2.54
kolonio,"{Ｏ}植民地; 植民団; 居留地, 集落, 集団; 【生】コロニー, 集団繁殖地, （サンゴなどの）群体, （細菌の）集落",殖民地；聚居地；【生物】群体，菌落,"식민지; 식민단, 거류지, 집단 거주지; (생물) 콜로니, 집단 번식지, 군체, 균락",C,,3.0,8.79,8.79
komentarii,"{Ｏ}［他］注釈をつける, 注解する; =〜（論評する）",注释，评注,"주석을 달다, 주해하다",C,,3.0,8.79,8.79
komenti,"{Ｏ}［他］論評する, 解説する; =〜arii（注釈をつける）",评论，解说,"논평하다, 해설하다",C,,3.0,8.79,8.79
kompili,"{Ｏ}［他］編纂（へんさん）する, 集成する, 編集する",编纂，汇编，编辑,"편찬하다, 모아 엮다, 편집하다",C,,3.0,8.79,8.79
kompleksa,"{Ｂ}複合した; 入り組んだ, 複雑な; 【数】複素数の",复合的，复杂的；[数] 复数的,"복합적인, 복잡한; (수학) 복소수의",C,,3.0,8.79,8.79
komplezo,"{Ｂ}（行動に表れた）心遣い, 親切な行為, 好意的な扱い",关照，体贴；亲切举动，善意对待,"호의적인 배려, 친절한 행위",C,,3.0,8.79,8.79
komplimento,"{Ｏ}賛辞, お世辞; （儀礼的な）あいさつ",恭维，赞美；礼节性问候,칭찬이나 아첨의 말; 의례적 인사,C,,3.0,8.79,8.79
komputi,"{Ｏ}［他］【数】【情】計算する, 演算する; 《古》数える, 測る",计算，演算；（古）计数，测量,"계산하다, 연산하다; (고어) 세거나 재다",B,,2.0,5.67,5.67
konciza,"{Ｏ}簡潔な, 簡明な",简明的,간결하고 명료한,C,,3.0,8.79,8.79
kondolenci,"{Ｏ}［他］（人に）お悔みを言う, 哀悼の意を表す",吊唁；表示哀悼，向丧家致慰问,유족에게 조의를 표하다,C,,3.0,8.79,8.79
konflikto,"{Ｏ}軋轢（あつれき）, 葛藤; 争い, 衝突, 争議, 紛争",冲突，矛盾，纷争,"갈등, 마찰; 다툼, 충돌, 분쟁",C,,3.0,8.79,8.79
konforma,"{Ｏ}一致した, 適合した",一致的，符合的,"일치하는, 적합한",C,,3.0,8.79,8.79
konko,"{Ｏ}【動】貝殻, （カタツムリの）殻; 《転》貝殻形のもの; 【解】甲介",贝壳；（蜗牛）壳；贝壳状物；（解）甲介,"조가비, 달팽이 껍질; 조개껍질 모양의 것; (해부) 갑개",C,,3.0,8.79,8.79
konkreta,"{Ｏ}具体的な, 具象的な, 現実の",具体的；具象的；现实的,"구체적인, 구상적인; 실재하는",C,,3.0,8.79,8.79
konsilio,{Ｂ}評議会,评议会，议事会，委员会,평의회,C,,3.0,8.79,8.79
konsonanto,"{Ｏ}【声】子音, >>〜",辅音,자음,C,,3.0,8.79,8.79
konsulti,"{Ｏ}［他］（専門家に）相談する, 諮問する; （辞書などを）調べる, 参照する",咨询，查阅,"상담하다; (사전 등을) 찾아보다, 참조하다",C,,3.0,8.79,8.79
kontakto,"{Ｏ}接触; 【電】接点, 接触; 連絡, 関係",接触；（电）触点，接点；联系,"접촉; (전기) 접점; 연락, 관계",B,,2.0,5.67,5.67
kontinento,{Ｏ}大陸,大陆,대륙,C,,3.0,8.79,8.79
konto,"{Ｏ}【商】勘定口座, 貸借勘定; 【情】アカウント",账户，账号；账目，账务；借贷账户,"계좌, 계정; (상업) 계정, 대차 계정",C,,3.0,8.79,8.79
kontrasto,"{Ｏ}対照, 対比; 【写】（画像の）コントラスト",对比，反差,"대조, 대비",C,,3.0,8.79,8.79
kontribui,"{Ｏ}［自］寄与する, 貢献する; 分担する; 寄付・寄稿で貢献する",贡献，出力；以捐助或投稿等方式作贡献,"기여하다, 공헌하다; 분담하다; 기부·기고로 보태다",C,,3.0,8.79,8.79
konvencio,"{Ｏ}（国家間の）協定, 取決め; 慣例, 慣習, （暗黙の）約束事; （米国の大統領候補指名の）党大会",公约，协定；惯例，约定俗成；（美）党代表大会,국가 간 협정·조약; 관례·관습; (미국 정치) 전당대회,C,,3.0,8.79,8.79
kooperativo,{Ｏ}協同組合,合作社,협동조합,C,,3.0,8.79,8.79
kopii,"{Ｏ}［他］写しとる, 複写する, 模写する; 【情】コピーする, 複写する; 【写】（印画紙に）焼付ける, 焼増しする, >>printi",复制，抄写，临摹；（计）拷贝；（摄影）翻印、加洗,"베끼다, 복사하다, 모사하다; (정보) 복사하다; (사진) 인화하다, 추가 인화하다",C,,3.0,8.79,8.79
kotizi,{Ｏ}［自］（会費・分担金などを）払う,缴纳会费或分担金,회비나 분담금을 내다,B,,2.0,5.67,5.67
krabo,{Ｏ}【動】カニ（類）（蟹）,螃蟹,게,C,,3.0,8.79,8.79
